Book 01        Genesis
Book 02        Exodus
Book 03        Leviticus
Book 04        Numbers
Book 05        Deuteronomy
Book 06        Joshua
Book 07        Judges
Book 08        Ruth
Book 09        1 Samuel
Book 10        2 Samuel
Book 11        1 Kings
Book 12        2 Kings
Book 13        1 Chronicles
Book 14        2 Chronicles
Book 15        Ezra
Book 16        Nehemiah
Book 17        Esther
Book 18        Job
Book 19        Psalms
Book 20        Proverbs
Book 21        Ecclesiastes
Book 22        Song of Solomon
Book 23        Isaiah
Book 24        Jeremiah
Book 25        Lamentations
Book 26        Ezekiel
Book 27        Daniel
Book 28        Hosea
Book 29        Joel
Book 30        Amos
Book 31        Obadiah
Book 32        Jonah
Book 33        Micah
Book 34        Nahum
Book 35        Habakkuk
Book 36        Zephaniah
Book 37        Haggai
Book 38        Zechariah
Book 39        Malachi
Book 40        Matthew
Book 41        Mark
Book 42        Luke
Book 43        John
Book 44        Acts
Book 45        Romans
Book 46        1 Corinthians
Book 47        2 Corinthians
Book 48        Galatians
Book 49        Ephesians
Book 50        Philippians
Book 51        Colossians
Book 52        1 Thessalonians
Book 53        2 Thessalonians
Book 54        1 Timothy
Book 55        2 Timothy
Book 56        Titus
Book 57        Philemon
Book 58        Hebrews
Book 59        James
Book 60        1 Peter
Book 61        2 Peter
Book 62        1 John
Book 63        2 John
Book 64        3 John
Book 65        Jude
Book 66        Revelation
